fuel_type,us_state,in_year,regulatory_id,produced_amount_megawatts
Natural Gas,AK,2021,AK_RCA,6170793
Other,AK,2021,AK_RCA,-8280
Petroleum,AK,2021,AK_RCA,1804972
Solar Thermal and Photovoltaic,AK,2021,AK_RCA,0
Other Biomass,AK,2021,AK_RCA,76142
Wind,AK,2021,AK_RCA,264424
Coal,AL,2021,AL_APSC,53801819
Natural Gas,AL,2021,AL_APSC,108895752
Nuclear,AL,2021,AL_APSC,92072978
Other Gases,AL,2021,AL_APSC,126
Other,AL,2021,AL_APSC,48
Petroleum,AL,2021,AL_APSC,43834
Solar Thermal and Photovoltaic,AL,2021,AL_APSC,987988
Other Biomass,AL,2021,AL_APSC,87880
Wood and Wood Derived Fuels,AL,2021,AL_APSC,6534612
Coal,AR,2021,AR_APSC,42837751
Pumped Storage,AR,2021,AR_APSC,167412
Natural Gas,AR,2021,AR_APSC,41258268
Nuclear,AR,2021,AR_APSC,27111368
Other,AR,2021,AR_APSC,15142
Petroleum,AR,2021,AR_APSC,111068
Solar Thermal and Photovoltaic,AR,2021,AR_APSC,924561
Other Biomass,AR,2021,AR_APSC,122833
Wood and Wood Derived Fuels,AR,2021,AR_APSC,1594372
Coal,AZ,2021,AZ_ACC,28601150
Pumped Storage,AZ,2021,AZ_ACC,181790
Natural Gas,AZ,2021,AZ_ACC,96106264
Nuclear,AZ,2021,AZ_ACC,63259724
Other,AZ,2021,AZ_ACC,-15086
Petroleum,AZ,2021,AZ_ACC,87068
Solar Thermal and Photovoltaic,AZ,2021,AZ_ACC,13421759
Other Biomass,AZ,2021,AZ_ACC,38940
Wind,AZ,2021,AZ_ACC,3200638
Wood and Wood Derived Fuels,AZ,2021,AZ_ACC,381294
Coal,CA,2021,CA_APUC,588310
Geothermal,CA,2021,CA_APUC,22255090
Pumped Storage,CA,2021,CA_APUC,-634868
Natural Gas,CA,2021,CA_APUC,194854186
Nuclear,CA,2021,CA_APUC,32954732
Other Gases,CA,2021,CA_APUC,2737840
Other,CA,2021,CA_APUC,1151793
Petroleum,CA,2021,CA_APUC,153994
