fuel_type,us_state,in_year,regulatory_id,fossil _consumption
Petroleum,AK,2020,AK_RCA,1851
Petroleum,AK,2019,AK_RCA,1687
Petroleum,AK,2018,AK_RCA,1519
Petroleum,AK,2017,AK_RCA,1646
Petroleum,AK,2016,AK_RCA,1494
Petroleum,AK,2015,AK_RCA,1388
Petroleum,AK,2014,AK_RCA,1272
Petroleum,AK,2013,AK_RCA,1406
Petroleum,AK,2012,AK_RCA,1729
Petroleum,AK,2011,AK_RCA,1626
Coal,AK,2021,AK_RCA,1062
Coal,AK,2020,AK_RCA,1041
Coal,AK,2019,AK_RCA,972
Coal,AK,2018,AK_RCA,935
Coal,AK,2017,AK_RCA,863
Coal,AK,2016,AK_RCA,880
Coal,AK,2015,AK_RCA,965
Coal,AK,2014,AK_RCA,886
Coal,AK,2013,AK_RCA,926
Coal,AK,2012,AK_RCA,978
Coal,AK,2011,AK_RCA,959
Natural Gas,AK,2021,AK_RCA,26368
Natural Gas,AK,2020,AK_RCA,23694
Natural Gas,AK,2019,AK_RCA,25289
Natural Gas,AK,2018,AK_RCA,26239
Natural Gas,AK,2017,AK_RCA,29774
Natural Gas,AK,2016,AK_RCA,29072
Natural Gas,AK,2015,AK_RCA,31139
Natural Gas,AK,2014,AK_RCA,32893
Natural Gas,AK,2013,AK_RCA,34989
Natural Gas,AK,2012,AK_RCA,40422
Natural Gas,AK,2011,AK_RCA,42635
Petroleum,AL,2021,AL_APSC,74
Petroleum,AL,2020,AL_APSC,63
Petroleum,AL,2019,AL_APSC,74
Petroleum,AL,2018,AL_APSC,193
Petroleum,AL,2017,AL_APSC,108
Petroleum,AL,2016,AL_APSC,184
Petroleum,AL,2015,AL_APSC,277
Petroleum,AL,2014,AL_APSC,336
Petroleum,AL,2013,AL_APSC,310
Petroleum,AL,2012,AL_APSC,477
Petroleum,AL,2011,AL_APSC,444
Coal,AL,2021,AL_APSC,14588
Coal,AL,2020,AL_APSC,11896
Coal,AL,2019,AL_APSC,14280
Coal,AL,2018,AL_APSC,16335
Coal,AL,2017,AL_APSC,16309
Coal,AL,2016,AL_APSC,17593
Coal,AL,2015,AL_APSC,21216
Coal,AL,2014,AL_APSC,24170
Coal,AL,2013,AL_APSC,24811
Coal,AL,2012,AL_APSC,23409
Coal,AL,2011,AL_APSC,432493
Natural Gas,AL,2021,AL_APSC,433322
Natural Gas,AL,2020,AL_APSC,457719
Natural Gas,AL,2019,AL_APSC,467154
Natural Gas,AL,2018,AL_APSC,414880
Natural Gas,AL,2017,AL_APSC,445880
Natural Gas,AL,2016,AL_APSC,429305
Natural Gas,AL,2015,AL_APSC,376093
Natural Gas,AL,2014,AL_APSC,359677
Natural Gas,AL,2013,AL_APSC,426360
Natural Gas,AL,2012,AL_APSC,363763
Natural Gas,AL,2011,AL_APSC,353556
Petroleum,AR,2021,AR_APSC,97
Petroleum,AR,2020,AR_APSC,91
Petroleum,AR,2019,AR_APSC,101
Petroleum,AR,2018,AR_APSC,78
Petroleum,AR,2017,AR_APSC,97
Petroleum,AR,2016,AR_APSC,95
Petroleum,AR,2015,AR_APSC,161
Petroleum,AR,2014,AR_APSC,69
Petroleum,AR,2013,AR_APSC,81
Petroleum,AR,2012,AR_APSC,65
Petroleum,AR,2011,AR_APSC,112
Coal,AR,2021,AR_APSC,12331
Coal,AR,2020,AR_APSC,9252
Coal,AR,2019,AR_APSC,13829
Coal,AR,2018,AR_APSC,17524
Coal,AR,2017,AR_APSC,14137
Coal,AR,2016,AR_APSC,12894
Coal,AR,2015,AR_APSC,19368
Coal,AR,2014,AR_APSC,18888
Coal,AR,2013,AR_APSC,17158
Coal,AR,2012,AR_APSC,17602
Coal,AR,2011,AR_APSC,112
Natural Gas,AR,2021,AR_APSC,160770
Natural Gas,AR,2020,AR_APSC,145605
Natural Gas,AR,2019,AR_APSC,172790
Natural Gas,AR,2018,AR_APSC,165445
Natural Gas,AR,2017,AR_APSC,138796
Natural Gas,AR,2016,AR_APSC,147062
Natural Gas,AR,2015,AR_APSC,122347
Natural Gas,AR,2014,AR_APSC,83629
Natural Gas,AR,2013,AR_APSC,104540
Natural Gas,AR,2012,AR_APSC,137859
Natural Gas,AR,2011,AR_APSC,115687
Petroleum,AZ,2021,AR_APSC,86
Petroleum,AZ,2020,AR_APSC,79
Petroleum,AZ,2019,AR_APSC,124
Petroleum,AZ,2018,AR_APSC,95
Petroleum,AZ,2017,AR_APSC,107
Petroleum,AZ,2016,AR_APSC,98
Petroleum,AZ,2015,AR_APSC,92
Petroleum,AZ,2014,AR_APSC,108
Petroleum,AZ,2013,AR_APSC,81
Petroleum,AZ,2012,AR_APSC,80
Petroleum,AZ,2011,AR_APSC,103
Coal,AZ,2021,AR_APSC,8419
Coal,AZ,2020,AR_APSC,8274
Coal,AZ,2019,AR_APSC,12875
Coal,AZ,2018,AR_APSC,16814
Coal,AZ,2017,AR_APSC,16929
Coal,AZ,2016,AR_APSC,16639
Coal,AZ,2015,AR_APSC,19812
Coal,AZ,2014,AR_APSC,22911
Coal,AZ,2013,AR_APSC,23298
Coal,AZ,2012,AR_APSC,21705
Coal,AZ,2011,AR_APSC,23580
Natural Gas,AZ,2021,AK_RCA,359344
Natural Gas,AZ,2020,AK_RCA,390512
Natural Gas,AZ,2019,AK_RCA,357930
Natural Gas,AZ,2018,AK_RCA,286208
Natural Gas,AZ,2017,AK_RCA,225557
Natural Gas,AZ,2016,AK_RCA,257115
Natural Gas,AZ,2015,AK_RCA,249841
Natural Gas,AZ,2014,AK_RCA,207217
Natural Gas,AZ,2013,AK_RCA,224852
Natural Gas,AZ,2012,AK_RCA,230275
Natural Gas,AZ,2011,AK_RCA,181832
Petroleum,CA,2021,CA_APUC,178
Petroleum,CA,2020,CA_APUC,96
Petroleum,CA,2019,CA_APUC,111
Petroleum,CA,2018,CA_APUC,156
Petroleum,CA,2017,CA_APUC,102
Petroleum,CA,2016,CA_APUC,211
Petroleum,CA,2015,CA_APUC,193
Petroleum,CA,2014,CA_APUC,104
Petroleum,CA,2013,CA_APUC,105
Petroleum,CA,2012,CA_APUC,99
Petroleum,CA,2011,CA_APUC,90
Coal,CA,2021,CA_APUC,628
Coal,CA,2020,CA_APUC,588
Coal,CA,2019,CA_APUC,526
Coal,CA,2018,CA_APUC,635
Coal,CA,2017,CA_APUC,631
