fuel_type,generators,facilities,named_capacity_megawatts,summer_capacity_megawatts,us_state,in_year
Coal,36,10,385,337.8,AK,2021
Hydroelectric Conventional,128,66,962.4,951.2,AK,2021
Other Biomass,10,2,23,14,AK,2021
Petroleum,738,202,1676.4,1485.4,AK,2021
Natural Gas,120,30,2818.8,2546.2,AK,2021
Other,10,10,94.4,94.4,AK,2021
Solar Thermal and Photovoltaic,16,2,1.6,1.6,AK,2021
Wind,44,14,119.2,118,AK,2021
Natural Gas,218,54,30870.6,28701.4,AL,2021
Coal,14,6,9933,9456,AL,2021
Hydroelectric Conventional,202,46,6636.6,6583.6,AL,2021
Nuclear,10,4,10687.8,10905.4,AL,2021
Petroleum,28,8,95.6,85.2,AL,2021
Solar Thermal and Photovoltaic,14,14,847.8,842.2,AL,2021
Other,2,2,2,2,AL,2021
Other Biomass,10,4,12.8,12.8,AL,2021
Other Gases,2,2,7.6,7.6,AL,2021
Wood and Wood Derived Fuels,34,24,1363,1225.8,AL,2021
Natural Gas,118,36,14508.8,12237.8,AR,2021
Other,4,4,24,24,AR,2021
Other Biomass,24,6,20.2,20.2,AR,2021
Solar Thermal and Photovoltaic,30,30,447.4,447.4,AR,2021
Coal,14,10,10974,10256.2,AR,2021
Hydroelectric Conventional,98,38,2641.8,2531.6,AR,2021
Nuclear,4,2,3690,3635.6,AR,2021
Petroleum,14,6,18.2,18,AR,2021
Pumped Storage,2,2,60,60,AR,2021
Wood and Wood Derived Fuels,16,6,539,433.8,AR,2021
Natural Gas,300,64,33962.6,28333,AZ,2021
Petroleum,8,6,250.6,175,AZ,2021
Solar Thermal and Photovoltaic,266,178,5621.6,5565.2,AZ,2021
Coal,18,8,6435,5886,AZ,2021
Hydroelectric Conventional,68,20,5436,5441.8,AZ,2021
Nuclear,6,2,8419.2,7874,AZ,2021
Other,14,14,194,194,AZ,2021
Pumped Storage,12,6,388.2,432.6,AZ,2021
Other Biomass,4,2,6.4,6.4,AZ,2021
Wind,12,12,1234.6,1234.6,AZ,2021
Wood and Wood Derived Fuels,4,4,60.4,49.4,AZ,2021
Natural Gas,1508,660,81944.4,74080.6,CA,2021
Other,206,182,4943.4,4905.6,CA,2021
Other Biomass,344,150,1057.8,947.8,CA,2021
Solar Thermal and Photovoltaic,1920,1438,30899.2,30629.4,CA,2021
Wood and Wood Derived Fuels,66,56,1536,1311.6,CA,2021
Hydroelectric Conventional,880,498,20126.2,20535,CA,2021
Petroleum,260,38,1007.2,838.6,CA,2021
Wind,246,214,12397.8,12351.4,CA,2021
