Regulatory_ID,Name ,address,contact,Postcode
AK_RCA,Regulatory Commission of Alaska ,"701 W 8th Ave 300, Anchorage, AK",9072766222,99501
AL_APSC,Alabama Public Service Commission,"01 West, Eighth Avenue Suite 300, Anchorage Alaska",3342425218,36104
AR_APSC,Arkansas Public Service Commission ,"1000 Center, St Little Rock AR, 72201 USA",5016822051,72201
AZ_ACC,Arizona Corporation Commission,"1300 W, Washington Street, Phoenix AZ",850072996,85007
CA_APUC,California Public Utilities Commission,"California Public Utilities Commission, 505 Van Ness Avenue, San Francisco",4157031366,94102
CO_CPUC,Colorado Public Utilities Commission ,"Colorado Public Utilities Commission, 1560 Broadway, Suite 250 Denver CO",3038942000,80202
CT_PURA,Public Utilities Regulatory Authority,"Ten Franklin Square, New Britain CT",8608271553,6051
DC_DCPSC,District of Columbia Public Service Commission,"1325 G Street, NW Suite 800 Washington",2026265100,20005
DE_DPSC,Delaware Public Service Commission,"Delaware Public Service Commission 861 Silver Lake Boulevard Cannon Building, Suite 100 Dover",3027367500,19904
FL_FPSC,Florida Public Service Commission,"2540 Shumard Oak Blvd Tallahassee, FL",323990850,32399
GA_GPSC,Georgia Public Service Commission,"244 Washington St SW, Atlanta, GA 30312, United States",4046564501,30312
HI_HPUC,Hawaii Public Utilities Commission,"Public Utilities Commission, State of Hawaii",8085862020,96813
IA_IUB,Iowa Utilities Board,"1375 E Court Ave, Des Moines, IA ",5157257300,50319
ID_IURC,Idaho Public Utilities Commission ,"11331 W Chinden Blvd ste 201a, Boise, ID",2083340300,83714
IL_ICC,Illinois Commerce Commission,"527 E Capitol Ave, Springfield, IL ",8005240795,62701
IN_IURC,Indiana Utility Regulatory Commission,"101 W Washington St 1500e, Indianapolis, IN ",3172322712,46204
KS_KCC,Kansas Corporation Commission,"1500 SW Arrowhead Rd, Topeka, KS 66604",7852713145,66604
KY_KPSC,Kentucky Public Service Commission,"211 Sower Blvd, Frankfort, KY",5025643940,40601
LA_LPSC,Louisiana Public Service Commission,"Galvez Building, 602 N 5th St, Baton Rouge, LA",2253424999,70821
MA_MDPU,Massachusetts Department of Public Utilities ,"1 S Station, Boston, MA",6173053500,2111
MD_MPSC,Maryland Public Service Commission,"6 St Paul St 1600, Baltimore, MD",4107678000,21202
ME_MPUC,Maine Public Utilities Commission,"26 Katherine Drive, Hallowell, ME",2072873831,4347
MI_MPSC,Michigan Public Service Commission,"7109 W Saginaw Hwy, Lansing, MI",5172848100,48917
MN_MPUC,Minnesota Public Utilities Commission,"121 7th Pl E 350, St Paul",6512960406,55101
MO_MPSC,Missouri Public Service Commission,"200 Madison St, Jefferson City, MO",5737513234,65101
MS_MPSC,Mississippi Public Service Commission,"501 N West St, Jackson, MS",6019615434,39201
MT_MPSC,Montana Public Service Commission ,"1701 Prospect Ave, Helena, MT",4064446199,59601
NC_NCUC,North Carolina Utilities Commission,"430 N Salisbury St, Raleigh, NC",9197337328,27603
ND_NDPSC,North Dakota Public Service Commission,"600 E Boulevard Ave 408, Bismarck, ND",7013282400,58505
NE_NPSC,Nebraska Public Service Commission,"1200 N St  300, Lincoln, NE",4024713101,68508
NH_NHPUC,New Hampshire Public Utilities Commission ,"21 S Fruit St 10, Concord, NH",6032712431,3301
NJ_NJBPU,New Jersey Board of Public Utilities ,"44 S Clinton Ave, Trenton, NJ",8006240241,8625
NM_NMPRC,New Mexico Public Regulation Commission,"142 W Palace Ave, Santa Fe, NM",8884275772,87501
NV_PUCN,Public Utilities Commission of Nevada ,"1150 E William St, Carson City, NV",7756846101,89701
NY_NYSPSC,New York State Public Service Commission,"Agency Building 3, S Mall Arterial, Albany, NY ",5184747080,12210
OH_PHCO,Public Utilities Commission of Ohio,"180 E Broad St, Columbus, OH",8006867826,43215
OK_OCC,Oklahoma Corporation Commission,"1318 Cradduck Rd, Ada, OK",5803323441,74820
OR_OR,Oregon Public Utility Commission,"201 High St SE 100, Salem, OR",5033786600,97301
PA_OPUC,Pennsylvania Public Utility Commission,"400 North St, Harrisburg, PA",8006927380,17120
RI_RIDPUC,Rhode Island Division of Public Utilities and Carriers,"89 Jefferson Blvd, Warwick, RI",4019414500,2888
SC_SCPSC,South Carolina Public Service Commission,"101 Executive Center Dr 100, Columbia, SC",8038965100,29210
SD_SDPUC,South Dakota Public Utilities Commission,"500 E Capitol Ave, Pierre, SD ",6057733201,57501
TN_TPUC,Tennessee Public Utility Commission,"502 Deaderick St, Nashville, TN",6157412904,37219
TX_PUCT,Public Utility Commission of Texas,"William B, Travis Building, 1701 Congress Ave, Austin, TX",5129367000,1701
UT_UPSC,Utah Public Service Commission,"160 E 300 S 4, Salt Lake City, UT",8015306716,84111
VA_VSCC,Virginia State Corporation Commission,"1300 E Main St, Richmond, VA ",8043719967,23219
VT_VPUC,Vermont Public Utility Commission,"112 State St, Montpelier, VT",8028282358,5620
WA_WUTC,Washington Utilities and Transportation Commission,"621 Woodland Square Loop SE, Lacey, WA",3606641160,98503
WI_PSCW,Public Service Commission of Wisconsin,"4822 Madison Yards Way, Madison, WI",6082665481,53705
WV_WVPSC,West Virginia Public Service Commission,"West Virginia Public Servi3828 I70, Wheeling, WV",3043400300,26003
WY_WPSC,Wyoming Public Service Commission,"2515 Warren Ave 300, Cheyenne, WY",3077777427,82001
