group_id,regulatory_id,in_year,electricity_usage_megawatts,unit_price_centsperkwh
AK_RS,AK_RCA,2021,292451,22.55
AL_RS,AL_APSC,2021,2308226,12.96
AR_RS,AR_APSC,2021,1436246,11.27
AZ_RS,AZ_ACC,2021,2953823,12.54
CA_RS,CA_APUC,2021,13883994,22.82
CO_RS,CO_CPUC,2021,2443109,13.07
CT_RS,CT_PURA,2021,1530251,21.91
DC_RS,DC_DCPSC,2021,298337,13.09
DE_RS,DE_DPSC,2021,453758,12.52
FL_RS,FL_FPSC,2021,9917113,11.9
GA_RS,GA_GPSC,2021,4560653,12.51
HI_RS,HI_HPUC,2021,443535,33.49
IA_RS,IA_IUB,2021,1417424,12.73
ID_RS,ID_IURC,2021,806421,10.16
IL_RS,IL_ICC,2021,5361717,13.18
IN_RS,IN_IURC,2021,2948803,13.37
KS_RS,KS_KCC,2021,1289344,12.98
KY_RS,KY_KPSC,2021,2032575,11.5
LA_RS,LA_LPSC,2021,2126155,11.02
MA_RS,MA_MDPU,2021,2840311,22.89
MD_RS,MD_MPSC,2021,2395954,13.12
ME_RS,ME_MPUC,2021,722038,17.02
MI_RS,MI_MPSC,2021,4458038,17.54
MN_RS,MN_MPUC,2021,2496406,13.5
MO_RS,MO_MPSC,2021,2861933,11.42
MS_RS,MS_MPSC,2021,1321576,11.56
MT_RS,MT_MPSC,2021,531398,11.22
NC_RS,NC_NCUC,2021,4774592,11.32
ND_RS,ND_NDPSC,2021,391340,10.85
NE_RS,NE_NPSC,2021,869656,10.75
NH_RS,NH_NHPUC,2021,638267,19.85
NJ_RS,NJ_NJBPU,2021,3648914,16.35
NM_RS,NM_NMPRC,2021,914495,13.52
NV_RS,NV_PUCN,2021,1249392,11.49
NY_RS,NY_NYSPSC,2021,7256212,19.48
OH_RS,OH_PHCO,2021,5041904,12.77
OK_RS,OK_OCC,2021,1818813,11
OR_RS,OR_OR,2021,1805684,11.37
PA_RS,PA_OPUC,2021,5477367,13.76
RI_RS,RI_RIDPUC,2021,446320,22.3
SC_RS,SC_SCPSC,2021,2426703,12.86
SD_RS,SD_SDPUC,2021,412657,12.22
TN_RS,TN_TPUC,2021,3016642,11.07
TX_RS,TX_PUCT,2021,11815251,12.11
UT_RS,UT_UPSC,2021,1176949,10.43
VA_RS,VA_VSCC,2021,3551532,11.96
VT_RS,VT_VPUC,2021,319444,19.26
WA_RS,WA_WUTC,2021,3220813,10.11
WI_RS,WI_PSCW,2021,2761990,14.52
WV_RS,WV_WVPSC,2021,863647,12.15
WY_RS,WY_WPSC,2021,278599,11.17
AK_CM,AK_RCA,2021,2558649,19.61
AL_CM,AL_APSC,2021,21844283,11.84
AR_CM,AR_APSC,2021,11516908,9.56
AZ_CM,AZ_ACC,2021,29990064,10.33
CA_CM,CA_APUC,2021,108761594,19.18
CO_CM,CO_CPUC,2021,20584470,10.84
CT_CM,CT_PURA,2021,11701168,16.46
DC_CM,DC_DCPSC,2021,7043709,13
DE_CM,DE_DPSC,2021,4196263,9.48
FL_CM,FL_FPSC,2021,93965070,9.51
GA_CM,GA_GPSC,2021,45777026,10.61
HI_CM,HI_HPUC,2021,2784538,30.88
IA_CM,IA_IUB,2021,12135097,10.17
ID_CM,ID_IURC,2021,6600296,7.89
IL_CM,IL_ICC,2021,46923210,9.65
IN_CM,IN_IURC,2021,22920929,11.58
KS_CM,KS_KCC,2021,15356451,10.52
KY_CM,KY_KPSC,2021,18685936,10.75
LA_CM,LA_LPSC,2021,22459648,10.23
MA_CM,MA_MDPU,2021,23832465,16.99
