group_id,user_numbers
AK_RS,292451
AL_RS,2308226
AR_RS,1436246
AZ_RS,2953823
CA_RS,13883994
CO_RS,2443109
CT_RS,1530251
DC_RS,298337
DE_RS,453758
FL_RS,9917113
GA_RS,4560653
HI_RS,443535
IA_RS,1417424
ID_RS,806421
IL_RS,5361717
IN_RS,2948803
KS_RS,1289344
KY_RS,2032575
LA_RS,2126155
MA_RS,2840311
MD_RS,2395954
ME_RS,722038
MI_RS,4458038
MN_RS,2496406
MO_RS,2861933
MS_RS,1321576
MT_RS,531398
NC_RS,4774592
ND_RS,391340
NE_RS,869656
NH_RS,638267
NJ_RS,3648914
NM_RS,914495
NV_RS,1249392
NY_RS,7256212
OH_RS,5041904
OK_RS,1818813
OR_RS,1805684
PA_RS,5477367
RI_RS,446320
SC_RS,2426703
SD_RS,412657
TN_RS,3016642
TX_RS,11815251
UT_RS,1176949
VA_RS,3551532
VT_RS,319444
WA_RS,3220813
WI_RS,2761990
WV_RS,863647
WY_RS,278599
AK_CM,56005
AL_CM,376180
AR_CM,201408
AZ_CM,335377
CA_CM,1750923
CO_CM,388601
CT_CM,155791
DC_CM,26783
DE_CM,58353
FL_CM,1272939
GA_CM,599964
HI_CM,59935
IA_CM,246568
ID_CM,117323
IL_CM,633019
IN_CM,364549
KS_CM,245045
KY_CM,316806
LA_CM,297724
MA_CM,432903
MD_CM,257947
ME_CM,98304
MI_CM,550701
MN_CM,306605
MO_CM,395150
MS_CM,241509
MT_CM,112777
NC_CM,731526
ND_CM,77174
NE_CM,157335
NH_CM,110003
NJ_CM,529178
NM_CM,146312
NV_CM,171686
NY_CM,1161852
OH_CM,640013
OK_CM,296856
OR_CM,242237
PA_CM,725725
RI_CM,60091
SC_CM,402005
SD_CM,74987
TN_CM,519798
TX_CM,1552641
UT_CM,139168
VA_CM,442263
VT_CM,60403
WA_CM,394023
WI_CM,361589
WV_CM,148231
WY_CM,58019
AK_IS,1135
AL_IS,7233
AR_IS,36628
AZ_IS,7548
CA_IS,149389
CO_IS,15287
CT_IS,4049
DC_IS,1
DE_IS,864
FL_IS,23036
GA_IS,24211
HI_IS,817
IA_IS,9479
ID_IS,28974
IL_IS,5456
IN_IS,19066
KS_IS,23965
KY_IS,5424
LA_IS,19928
MA_IS,10907
MD_IS,8991
ME_IS,2498
MI_IS,5706
MN_IS,9130
MO_IS,9985
MS_IS,10795
MT_IS,11670
NC_IS,9567
ND_IS,8980
NE_IS,63253
NH_IS,3180
NJ_IS,11503
NM_IS,9271
NV_IS,3303
NY_IS,7313
OH_IS,19556
OK_IS,20174
OR_IS,26447
PA_IS,15006
RI_IS,1650
SC_IS,3652
SD_IS,4151
TN_IS,1016
TX_IS,293034
UT_IS,10180
VA_IS,3687
VT_IS,248
WA_IS,26243
WI_IS,5665
WV_IS,11343
WY_IS,11618
AK_TP,0
AL_TP,0
AR_TP,2
AZ_TP,2
CA_TP,12
CO_TP,1
CT_TP,3
DC_TP,3
DE_TP,0
FL_TP,2
GA_TP,1
HI_TP,0
IA_TP,0
ID_TP,0
IL_TP,3
IN_TP,1
KS_TP,0
KY_TP,0
LA_TP,1
MA_TP,2
MD_TP,5
ME_TP,0
MI_TP,2
MN_TP,1
MO_TP,2
MS_TP,0
MT_TP,0
NC_TP,1
ND_TP,0
NE_TP,0
NH_TP,0
NJ_TP,6
NM_TP,0
NV_TP,1
NY_TP,8
OH_TP,3
OK_TP,0
OR_TP,2
PA_TP,5
RI_TP,1
SC_TP,0
SD_TP,0
TN_TP,0
TX_TP,3
UT_TP,1
VA_TP,1
VT_TP,0
WA_TP,5
WI_TP,2
WV_TP,0
WY_TP,0
